"community","no of nodes","indegree","ind"," no of nodes max in","no of sink nodes"
"0","11577","9403096.0","1","11576","5801"
"1","10994","9511171.0","1","10993","5497"
"2","9081","1219.0","1","9080","4513"
"3","1447","9905036.0","1","1446","666"
"4","11625","9405002.0","1","11624","5829"
"5","11721","9308122.0","1","11720","5892"
"6","12106","9308122.0","1","12105","6094"
"7","11760","9308122.0","1","11759","5906"
"8","11680","9308122.0","1","11679","5868"
"9","11639","9412209.0","1","11638","5847"
"10","11986","9311042.0","1","11985","6030"
"11","12092","9308122.0","1","12091","6078"
"12","12508","9303032.0","1","12507","6298"
"13","12956","9307121.0","1","12955","6570"
"14","12258","9303017.0","1","12257","6152"
"15","11627","9506207.0","1","11626","5837"
"16","12527","9308124.0","1","12526","6321"
"17","9353","9912016.0","1","9352","4640"
"18","11188","9404101.0","1","11187","5607"
"19","3308","9704113.0","1","3307","1555"
"20","12624","9210119.0","1","12623","6386"
"21","12507","9308124.0","1","12506","6312"
"22","9236","9604090.0","1","9235","4599"
"23","12878","9601143.0","1","12877","6537"
"24","12405","9303016.0","1","12404","6267"
"25","12253","9311012.0","1","12252","6188"
"26","13039","9704157.0","1","13038","6640"
"27","12318","2070.0","1","12317","6203"
"28","12524","2070.0","1","12523","6316"
"29","12429","9709071.0","1","12428","6294"
"30","12418","9406206.0","1","12417","6277"
"31","12305","9311012.0","1","12304","6215"
"32","11951","9309023.0","1","11950","5998"
"33","7283","9412235.0","1","7282","3535"
"34","12310","9402031.0","1","12309","6216"
"35","12478","9401139.0","1","12477","6299"
"36","11959","9404151.0","1","11958","6008"
"37","12991","9408099.0","1","12990","6575"
"38","11634","9604034.0","1","11633","5850"
"39","12885","9407087.0","1","12884","6533"
"40","11755","9411102.0","1","11754","5914"
"41","13030","9501030.0","1","13029","6621"
"42","13218","9501030.0","1","13217","6720"
"43","12615","9501030.0","1","12614","6377"
"44","13011","9501030.0","1","13010","6607"
"45","12027","9501030.0","1","12026","6051"
"46","12727","9508094.0","1","12726","6428"
"47","11403","9605042.0","1","11402","5749"
"48","12001","9502072.0","1","12000","6033"
"49","12421","9211007.0","1","12420","6283"
"50","11797","9504090.0","1","11796","5922"
"51","12192","9507158.0","1","12191","6142"
"52","11453","9507158.0","1","11452","5743"
"53","11340","9508155.0","1","11339","5678"
"54","11427","9508155.0","1","11426","5719"
"55","12585","9510182.0","1","12584","6360"
"56","4","9308062.0","1","3","2"
"57","12925","9303017.0","1","12924","6523"
"58","12764","9510182.0","1","12763","6462"
"59","10966","9602022.0","1","10965","5486"
"60","11596","9602022.0","1","11595","5818"
"61","11492","9602022.0","1","11491","5765"
"62","10759","9602114.0","1","10758","5380"
"63","10","9904125.0","1","9","4"
"64","11058","9603150.0","1","11057","5533"
"65","10977","9803107.0","1","10976","5531"
"66","7291","4104.0","1","7290","3545"
"67","11575","9704097.0","1","11574","5822"
