"nodes","citations","no of papers it cite"
"1001.0","4","22"
"7195.0","4","12"
"11075.0","2","9"
"112101.0","4","24"
"212114.0","0","13"
"9304045.0","7","0"
"9403096.0","14","7"
"9404186.0","3","5"
"9409110.0","11","7"
"9511152.0","1","6"
"9412077.0","1","5"
"9609167.0","9","8"
"9405086.0","2","7"
"9308122.0","49","5"
"9505105.0","157","20"
"9508155.0","89","28"
"1025.0","7","10"
"9403187.0","19","10"
"9406055.0","31","6"
"9701023.0","24","12"
"9411234.0","12","2"
"9812253.0","2","10"
"9808131.0","8","20"
"9511206.0","2","2"
"9512204.0","5","5"
"9511108.0","36","26"
"9504114.0","4","10"
"9504115.0","3","15"
"9805058.0","1","16"
"9507153.0","13","5"
"9507115.0","47","16"
"9601014.0","25","26"
"7071.0","4","3"
"9412115.0","3","14"
"9611110.0","3","23"
"9506110.0","46","9"
"9509009.0","16","17"
"9603108.0","21","29"
"9904218.0","1","13"
"9605154.0","23","36"
"12213.0","23","18"
"9602102.0","18","28"
"9512017.0","8","7"
"108234.0","8","29"
"9506091.0","13","22"
"9602154.0","8","10"
"9608104.0","5","13"
"212020.0","0","24"
"9703195.0","3","27"
"304209.0","0","1"
"9406008.0","3","15"
"9507075.0","1","7"
"9510218.0","0","8"
"9603059.0","0","22"
"9608184.0","0","3"
"9609163.0","0","8"
"9610119.0","0","14"
"9612239.0","0","17"
"9701094.0","1","5"
"9705068.0","2","16"
"9804178.0","0","3"
"9807062.0","0","5"
"9309097.0","64","1"
"9504090.0","149","3"
"9504145.0","80","1"
"9505025.0","14","11"
"9603150.0","69","23"
"9702155.0","28","16"
"9811217.0","9","18"
"9404060.0","4","4"
"9512016.0","2","6"
"9612181.0","9","19"
"9706110.0","51","31"
"9503208.0","10","8"
"9907186.0","8","5"
"9710239.0","15","25"
"9406032.0","5","7"
"9707012.0","5","11"
"9711124.0","21","11"
"2004.0","4","8"
"9911068.0","16","44"
"9806059.0","4","6"
