"community","reciprocal of eccentricty","re score","closenees centrality","cc score","katz","katz score"
"0","1035.0","0.02564102564102564","9902098.0","0.0659826721386229","9711200.0","0.049553097652812586"
"1","9706005.0","0.023809523809523808","9706005.0","0.06165797296539346","9711200.0","0.05190367720778197"
"2","9911067.0","0.019230769230769232","9703110.0","0.04842589185239703","9711200.0","0.06905880461056554"
"3","101020.0","0.030303030303030304","101043.0","0.07446315464236057","11127.0","0.05189591113212778"
"4","9708112.0","0.027777777777777776","9602045.0","0.06054671222601884","9905111.0","0.04635167023636168"
"5","9511171.0","0.02127659574468085","9706005.0","0.05843404730565195","9711200.0","0.050292368927667024"
"6","9511171.0","0.02127659574468085","9706005.0","0.058173622191038235","9711200.0","0.04948349923154908"
"7","9511171.0","0.02127659574468085","9706005.0","0.05841355945674744","9711200.0","0.05021588856583403"
"8","9511171.0","0.02127659574468085","9706005.0","0.058439998799075285","9711200.0","0.05037910918847528"
"9","9706005.0","0.023809523809523808","9706005.0","0.062279922511318274","9711200.0","0.050464478445080736"
"10","9706005.0","0.023809523809523808","9706005.0","0.0624856624470814","9711200.0","0.04963424113292342"
"11","9511171.0","0.02127659574468085","9706005.0","0.058139311233567026","9711200.0","0.0495177435438863"
"12","3052.0","0.021739130434782608","9806195.0","0.054791579961886404","9711200.0","0.04869019530836166"
"13","8201.0","0.02702702702702703","9702155.0","0.0727808988764045","9611050.0","0.060205448133201035"
"14","9708112.0","0.027777777777777776","9602045.0","0.060972819165870745","9905111.0","0.045112590594781975"
"15","9806160.0","0.02564102564102564","9902098.0","0.05306349727973126","9711200.0","0.049020844823224406"
"16","9911161.0","0.027777777777777776","9807008.0","0.07116075080670818","9711200.0","0.04861930019712779"
"17","9906099.0","0.022727272727272728","9907108.0","0.04994099145043549","9905111.0","0.06325520745051794"
"18","9706005.0","0.023809523809523808","9706005.0","0.062358554721903256","9711200.0","0.05141516375858205"
"19","5052.0","0.03225806451612903","5052.0","0.07117797722821291","109162.0","0.06363989124367778"
"20","3052.0","0.021739130434782608","9806195.0","0.058732662395369506","9711200.0","0.046367716863338175"
"21","9911161.0","0.027777777777777776","9807008.0","0.0715397112326385","9711200.0","0.048653285926883394"
"22","4028.0","0.022727272727272728","9604090.0","0.06151704291871224","9711200.0","0.0554830435967408"
"23","4147.0","0.02127659574468085","9802162.0","0.05532640732816031","9408099.0","0.07139166221251546"
"24","9907202.0","0.025","9410237.0","0.06106494427159229","9711200.0","0.04848296118689504"
"25","9911161.0","0.027777777777777776","9705193.0","0.06647928897763405","9711200.0","0.04811652046577391"
"26","9911161.0","0.027777777777777776","9705193.0","0.06339805400358857","9407087.0","0.0572481764602525"
